Behavior,Synapse_Bin,r,p_raw,q_fdr,significant,sig_mark
YM Alternation Rate,PSD_num_0-10,-0.3216510824069041,0.14436315259410543,0.3753935487055235,False,
YM Re-entry Ratio,PSD_num_0-10,0.4986194566586075,0.018174879925604664,0.1745159041368437,False,
SI Time with stranger,PSD_num_0-10,-0.0024238883113618906,0.9914585110534045,0.9962721473247291,False,
OF Total Distance,PSD_num_0-10,-0.18408601829715207,0.41216892558529683,0.686948209308828,False,
OF Center Region,PSD_num_0-10,-0.0497248550263547,0.8260646431003744,0.9962721473247291,False,
EPM Open Arm Time,PSD_num_0-10,-0.1438798253887756,0.5229525550530935,0.7844288325796402,False,
YM Alternation Rate,PSD_num_10-20,-0.5750033375012795,0.00511908303678852,0.15357249110365562,False,
YM Re-entry Ratio,PSD_num_10-20,0.6474897345959805,0.0011232794634018313,0.06739676780410987,False,
SI Time with stranger,PSD_num_10-20,-0.36978809240123633,0.09029080403344825,0.3186734260004056,False,
OF Total Distance,PSD_num_10-20,-0.1520522284397419,0.49935659449179537,0.782118156881461,False,
OF Center Region,PSD_num_10-20,-0.016230769303026183,0.9428489003687728,0.9962721473247291,False,
EPM Open Arm Time,PSD_num_10-20,0.07369321704405468,0.7444856968342235,0.9739674855769902,False,
YM Alternation Rate,PSD_num_20-40,-0.5362575962368509,0.010089975060075435,0.15622826135620216,False,
YM Re-entry Ratio,PSD_num_20-40,0.529632639095182,0.011244409220930085,0.15622826135620216,False,
SI Time with stranger,PSD_num_20-40,-0.274430285930475,0.21647535429159753,0.4563672823127937,False,
OF Total Distance,PSD_num_20-40,-0.21801495335697393,0.32971775414711535,0.5818548602596153,False,
OF Center Region,PSD_num_20-40,0.011832922938223325,0.9583189869891805,0.9962721473247291,False,
EPM Open Arm Time,PSD_num_20-40,0.09916430630562373,0.6606204634135164,0.9217959954607206,False,
YM Alternation Rate,PSD_num_40-70,-0.4768583128573683,0.024838048296177865,0.1745159041368437,False,
YM Re-entry Ratio,PSD_num_40-70,0.40084371969239996,0.06448987815802527,0.2579595126321011,False,
SI Time with stranger,PSD_num_40-70,-0.14890654438533207,0.5083768019729497,0.782118156881461,False,
OF Total Distance,PSD_num_40-70,-0.17228599223405652,0.4432700339604062,0.7188162712871452,False,
OF Center Region,PSD_num_40-70,-0.06607486050427996,0.7701740741990856,0.9832009457860666,False,
EPM Open Arm Time,PSD_num_40-70,0.01225187068408384,0.956844565799969,0.9962721473247291,False,
YM Alternation Rate,PSD_num_70-100,-0.31731813164858824,0.1501574194822094,0.3753935487055235,False,
YM Re-entry Ratio,PSD_num_70-100,0.12196927187337303,0.5887016111500152,0.8615145529024613,False,
SI Time with stranger,PSD_num_70-100,0.0010578682072931928,0.9962721473247291,0.9962721473247291,False,
OF Total Distance,PSD_num_70-100,-0.010374104160637564,0.9634540687991207,0.9962721473247291,False,
OF Center Region,PSD_num_70-100,-0.02121118589888309,0.9253538118591207,0.9962721473247291,False,
EPM Open Arm Time,PSD_num_70-100,0.03972409379069599,0.86067482468572,0.9962721473247291,False,
YM Alternation Rate,gephyrin_num_0-10,0.0824117999898696,0.7154075327596557,0.9739674855769902,False,
YM Re-entry Ratio,gephyrin_num_0-10,-0.2884756900604119,0.19292432301521018,0.44520997618894653,False,
SI Time with stranger,gephyrin_num_0-10,0.11687801824568625,0.6044668387712558,0.8635240553875084,False,
OF Total Distance,gephyrin_num_0-10,0.025727550653809227,0.9095173728528271,0.9962721473247291,False,
OF Center Region,gephyrin_num_0-10,-0.19821157889070046,0.3765632141870174,0.6455369386063154,False,
EPM Open Arm Time,gephyrin_num_0-10,-0.2720897324950109,0.22057751978451698,0.4563672823127937,False,
YM Alternation Rate,gephyrin_num_10-20,0.26217550813128093,0.23852165161302516,0.4639297198835189,False,
YM Re-entry Ratio,gephyrin_num_10-20,-0.4440194471587603,0.03844004818467736,0.2111661058660759,False,
SI Time with stranger,gephyrin_num_10-20,0.40915200524480977,0.05865078663239741,0.251360514138846,False,
OF Total Distance,gephyrin_num_10-20,0.02642959664639741,0.9070585066755554,0.9962721473247291,False,
OF Center Region,gephyrin_num_10-20,-0.2288257900062674,0.3056886895002664,0.5557976172732116,False,
EPM Open Arm Time,gephyrin_num_10-20,-0.3197130890789839,0.14693487588556936,0.3753935487055235,False,
YM Alternation Rate,gephyrin_num_20-40,0.2506020812234164,0.2606386555684895,0.48869747919091777,False,
YM Re-entry Ratio,gephyrin_num_20-40,-0.43004679582129907,0.045752656270983114,0.2111661058660759,False,
SI Time with stranger,gephyrin_num_20-40,0.44336807984732446,0.038759169767701246,0.2111661058660759,False,
OF Total Distance,gephyrin_num_20-40,-0.03601593626654091,0.8735743241465754,0.9962721473247291,False,
OF Center Region,gephyrin_num_20-40,-0.2615433938112394,0.23969702193981812,0.4639297198835189,False,
EPM Open Arm Time,gephyrin_num_20-40,-0.3440314635422587,0.11693815074173625,0.3753935487055235,False,
YM Alternation Rate,gephyrin_num_40-70,0.3219337385253338,0.14399074361546196,0.3753935487055235,False,
YM Re-entry Ratio,gephyrin_num_40-70,-0.4857813978969556,0.021903042688597444,0.1745159041368437,False,
SI Time with stranger,gephyrin_num_40-70,0.43579204207501593,0.042625340237206995,0.2111661058660759,False,
OF Total Distance,gephyrin_num_40-70,-0.07303108096946692,0.7467084056090258,0.9739674855769902,False,
OF Center Region,gephyrin_num_40-70,-0.3037207572190792,0.16939809211857576,0.4065554210845818,False,
EPM Open Arm Time,gephyrin_num_40-70,-0.3931890099007723,0.07025177801514976,0.2634441675568116,False,
YM Alternation Rate,gephyrin_num_70-100,0.3369589948081048,0.12515998724179084,0.3753935487055235,False,
YM Re-entry Ratio,gephyrin_num_70-100,-0.5204604088451905,0.013019021779683513,0.15622826135620216,False,
SI Time with stranger,gephyrin_num_70-100,0.47306436044901123,0.026177385620526555,0.1745159041368437,False,
OF Total Distance,gephyrin_num_70-100,-0.024634771689252273,0.9133463374343793,0.9962721473247291,False,
OF Center Region,gephyrin_num_70-100,-0.2830215545080827,0.20185374626829594,0.4485638805962132,False,
EPM Open Arm Time,gephyrin_num_70-100,-0.3186558293170877,0.14835140515220743,0.3753935487055235,False,
